['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'12:11:07.53015'", 49, 568, 61, 877, 235)
("'12:11:07.53015'", 56, 707, 428, 927, 560)
("'12:11:07.53015'", 57, 99, 432, 544, 713)
("'12:11:07.53015'", 62, 17, 145, 448, 385)
("'12:11:07.53015'", 64, -59, 335, 324, 505)
("'12:11:07.69774'", 1, -17, 0, 367, 177)
("'12:11:07.69774'", 9, 0, 382, 211, 552)
("'12:11:07.69774'", 19, 530, 37, 824, 250)
("'12:11:07.69774'", 25, 517, 519, 1170, 717)
("'12:11:07.69774'", 36, 905, 233, 1247, 579)
("'12:11:07.69774'", 49, 529, 53, 860, 243)
("'12:11:07.69774'", 57, 32, 463, 438, 712)
("'12:11:07.69774'", 62, -30, 137, 410, 397)
("'12:11:07.69774'", 63, 326, 7, 566, 147)
("'12:11:07.69774'", 66, 212, 229, 596, 461)
("'12:11:07.87021'", 1, -42, 0, 316, 177)
("'12:11:07.87021'", 19, 493, 48, 798, 259)
("'12:11:07.87021'", 22, 695, 277, 789, 344)
("'12:11:07.87021'", 36, 840, 214, 1231, 591)
("'12:11:07.87021'", 37, 1106, 85, 1303, 266)
("'12:11:07.87021'", 45, 1090, 1, 1256, 63)
("'12:11:07.87021'", 63, 289, 9, 519, 153)
("'12:11:08.07617'", 9, 2, 500, 269, 716)
("'12:11:08.07617'", 19, 450, 17, 807, 251)
("'12:11:08.07617'", 36, 807, 164, 1236, 557)
("'12:11:08.07617'", 44, -2, 487, 178, 692)
("'12:11:08.07617'", 63, 184, 38, 445, 199)
("'12:11:08.24782'", 25, 453, 479, 1252, 720)
("'12:11:08.24782'", 36, 793, 160, 1222, 535)
("'12:11:08.24782'", 49, 412, 5, 837, 241)
("'12:11:08.24782'", 63, 108, 48, 416, 243)
("'12:11:08.24782'", 72, -15, 0, 168, 160)
("'12:11:08.24782'", 73, 40, 467, 243, 707)
("'12:11:08.42844'", 36, 760, 154, 1223, 538)
("'12:11:08.42844'", 49, 403, 10, 837, 246)
("'12:11:08.42844'", 72, 5, 7, 148, 128)
("'12:11:08.59632'", 36, 753, 94, 1283, 526)
("'12:11:08.59632'", 59, 373, 15, 895, 249)
("'12:11:08.59632'", 72, 13, 5, 157, 121)
("'12:11:08.76415'", 34, 0, 1, 250, 91)
("'12:11:08.76415'", 36, 737, 172, 1192, 540)
("'12:11:08.76415'", 59, 399, 21, 901, 248)
("'12:11:08.76415'", 80, 65, 52, 234, 353)
("'12:11:08.93099'", 9, 2, 486, 291, 711)
("'12:11:08.93099'", 34, 4, 1, 273, 95)
("'12:11:08.93099'", 36, 728, 79, 1283, 548)
("'12:11:08.93099'", 44, 18, 37, 304, 354)
("'12:11:08.93099'", 59, 425, 44, 922, 251)
("'12:11:09.10087'", 19, 421, 286, 626, 426)
("'12:11:09.10087'", 29, 73, 233, 419, 465)
("'12:11:09.10087'", 34, 25, 0, 312, 92)
("'12:11:09.10087'", 36, 744, 79, 1284, 546)
("'12:11:09.10087'", 44, 7, 29, 287, 315)
("'12:11:09.10087'", 59, 453, 34, 1009, 258)
("'12:11:09.10087'", 63, 172, 92, 448, 266)
("'12:11:09.26976'", 29, 52, 175, 432, 447)
("'12:11:09.26976'", 34, 34, 1, 338, 87)
("'12:11:09.26976'", 36, 748, 55, 1292, 545)
("'12:11:09.26976'", 44, 25, 25, 296, 272)
("'12:11:09.26976'", 49, 453, 297, 662, 412)
("'12:11:09.26976'", 59, 489, 16, 1128, 275)
("'12:11:09.44030'", 9, 10, 498, 257, 701)
("'12:11:09.44030'", 29, -2, 121, 527, 517)
("'12:11:09.44030'", 34, 48, 0, 375, 81)
("'12:11:09.44030'", 36, 768, 33, 1304, 553)
("'12:11:09.44030'", 59, 542, 13, 1156, 274)
("'12:11:09.44030'", 64, 803, 483, 1303, 709)
("'12:11:09.44030'", 72, 8, 49, 277, 247)
("'12:11:09.61142'", 29, -20, 122, 567, 575)
("'12:11:09.61142'", 34, 53, 0, 433, 86)
("'12:11:09.61142'", 36, 800, 33, 1299, 539)
("'12:11:09.61142'", 44, -13, 50, 202, 245)
("'12:11:09.61142'", 59, 580, 13, 1159, 274)
("'12:11:09.61142'", 63, 9, 156, 612, 537)
("'12:11:09.61142'", 64, 802, 475, 1312, 717)
("'12:11:09.77884'", 9, 32, 532, 261, 707)
("'12:11:09.77884'", 34, 70, 1, 465, 83)
("'12:11:09.77884'", 36, 802, 31, 1305, 568)
("'12:11:09.77884'", 59, 599, 21, 1147, 277)
("'12:11:09.77884'", 63, -14, 136, 645, 577)
("'12:11:09.77884'", 64, 848, 540, 1260, 719)
("'12:11:09.94670'", 9, 37, 546, 245, 703)
("'12:11:09.94670'", 34, 123, 0, 510, 75)
("'12:11:09.94670'", 36, 792, 21, 1294, 582)
("'12:11:09.94670'", 59, 600, 20, 1146, 278)
("'12:11:09.94670'", 63, -10, 127, 653, 584)
("'12:11:09.94670'", 88, 236, 535, 404, 711)
("'12:11:10.11472'", 9, 46, 551, 251, 700)
("'12:11:10.11472'", 34, 142, 0, 509, 65)
("'12:11:10.11472'", 36, 784, 8, 1263, 534)
("'12:11:10.11472'", 59, 607, 36, 1109, 268)
("'12:11:10.11472'", 63, -32, 128, 582, 573)
("'12:11:10.11472'", 89, -4, 22, 119, 259)
("'12:11:10.28523'", 36, 762, -1, 1246, 503)
("'12:11:10.28523'", 49, 8, 567, 247, 710)
