['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:28:41.71987'", 57, 1016, 360, 1282, 510)
("'13:28:41.71987'", 104, 1055, 185, 1291, 338)
("'13:28:41.71987'", 116, 458, 110, 865, 231)
("'13:28:41.71987'", 163, 340, 191, 803, 326)
("'13:28:41.71987'", 188, 385, 335, 910, 501)
("'13:28:41.71987'", 190, 391, 195, 765, 329)
("'13:28:41.71987'", 206, -71, 0, 501, 169)
("'13:28:41.71987'", 211, 38, 199, 323, 444)
("'13:28:41.71987'", 217, 53, 583, 608, 720)
("'13:28:41.91079'", 56, 1087, 401, 1296, 555)
("'13:28:41.91079'", 104, 1107, 195, 1311, 350)
("'13:28:41.91079'", 112, 505, 375, 926, 528)
("'13:28:41.91079'", 184, 558, 124, 957, 255)
("'13:28:41.91079'", 188, 501, 363, 959, 507)
("'13:28:41.91079'", 190, 439, 199, 881, 360)
("'13:28:41.91079'", 197, 512, 556, 990, 718)
("'13:28:41.91079'", 201, 463, 206, 952, 380)
("'13:28:41.91079'", 206, -45, 11, 572, 220)
("'13:28:41.91079'", 211, 59, 225, 412, 476)
("'13:28:42.11479'", 166, 8, 571, 229, 714)
("'13:28:42.11479'", 177, 654, 566, 1160, 720)
("'13:28:42.11479'", 184, 656, 137, 1061, 267)
("'13:28:42.11479'", 188, 623, 382, 1108, 531)
("'13:28:42.11479'", 201, 591, 213, 1060, 384)
("'13:28:42.11479'", 206, 133, 43, 689, 258)
("'13:28:42.11479'", 211, 112, 241, 529, 480)
("'13:28:42.11479'", 228, 346, 1, 871, 139)
("'13:28:42.11479'", 232, 40, 451, 201, 609)
("'13:28:42.11479'", 235, 30, 0, 457, 314)
("'13:28:42.11479'", 236, 482, 521, 716, 605)
("'13:28:42.33398'", 7, 461, -3, 879, 157)
("'13:28:42.33398'", 116, 772, 145, 1203, 277)
("'13:28:42.33398'", 140, 87, 281, 764, 475)
("'13:28:42.33398'", 188, 736, 396, 1243, 557)
("'13:28:42.33398'", 201, 705, 210, 1225, 407)
("'13:28:42.33398'", 212, -12, 439, 382, 646)
("'13:28:42.33398'", 235, 79, 11, 632, 388)
("'13:28:42.58253'", 57, 906, 407, 1196, 562)
("'13:28:42.58253'", 124, 860, 415, 1223, 566)
("'13:28:42.58253'", 140, 328, 310, 928, 485)
("'13:28:42.58253'", 190, 947, 154, 1318, 291)
("'13:28:42.58253'", 201, 874, 228, 1315, 399)
("'13:28:42.58253'", 212, -20, 387, 507, 669)
("'13:28:42.58253'", 232, 119, 478, 434, 706)
("'13:28:42.58253'", 235, 93, 7, 822, 427)
("'13:28:42.58253'", 240, 630, 519, 829, 609)
("'13:28:42.58253'", 241, 640, 628, 1240, 715)
("'13:28:42.77269'", 124, 873, 403, 1254, 569)
("'13:28:42.77269'", 153, 780, 592, 1223, 718)
("'13:28:42.77269'", 163, 452, 327, 983, 480)
